Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
7/21/2019 18:03:48,Dog,Widget,Widget,5,Mini dachshund
7/21/2019 18:03:50,Dog,Stella Bo Bella,Stella,6.5,Mutt
7/21/2019 18:03:57,Cat,Meryl Streep,Merrill,8,
7/21/2019 18:04:07,Dog,Tilly,Tills,13,Chocolate Labrador
7/21/2019 18:04:14,Cat,Pumpkin,Pumpkin,12,
7/21/2019 18:04:26,Dog,Peter Peter Pumpkin Eater,Petey,5,Pit bull
7/21/2019 18:04:29,Cat,Jacques,Jacques,12,
7/21/2019 18:04:30,Dog,Remy,Rem,1,Unknown
7/21/2019 18:04:35,Dog,Oreo,Oreo,7,Some kind of mix
7/21/2019 18:04:41,Dog,Ljus  (swedish Word For Light),Ljus ,0.25,Golden Retriever / Mix
7/21/2019 18:04:52,Dog,Bambi,Bambs,3,Unknown
7/21/2019 18:04:54,Cat,Marie Curie,Marie,3,
7/21/2019 18:05:02,Cat,Clarence,Clarence,12,Russian Blue
7/21/2019 18:05:05,Dog,Layla ‘the Tank’,Layla,3,Pit bull
7/21/2019 18:05:13,Cat,Amber,Ambs,10,Tortoiseshell cat
7/21/2019 18:05:14,Dog,Benny And The Jets,Ben,1,Mastiff/Great Dane
7/21/2019 18:05:16,Dog,Milo ,Milo,7,Bichon Frise
7/21/2019 18:05:21,Dog,Mocha,Mocha,3,Pitbull/Terrier
7/21/2019 18:05:22,Dog,Shadow ,Shadow ,15.5,Golden Retriever / Mix
7/21/2019 18:05:22,Cat,Little Bit,Skittles,10,Tabby
7/21/2019 18:05:25,Dog,Luna,Luna,1,Great Pyrenees 
7/21/2019 18:05:29,Cat,Garrison,Garrison ,9,Russian Blue
7/21/2019 18:05:33,Dog,Cody,Baby,13,Black lab/cocker spaniel mix
7/21/2019 18:05:39,Other,Hammy,Ham,1,Russian Dwarf Hamster
7/21/2019 18:05:49,Cat,Zoey,Zoey,13,Cat
7/21/2019 18:05:50,Dog,Oatmeal,Oatmeal,0.58,Golden Retriever / Mix
7/21/2019 18:05:51,Dog,Ginger ,Nugget ,10,Chihuahua 
7/21/2019 18:05:53,Cat,Lucy,Lucy,4,Russian Blue 
7/21/2019 18:05:53,Dog,Starbuck Louise,Starbuck,4,Goldendoodle
7/21/2019 18:05:56,Dog,Mocha Antoinette,Mocha,7,Mutt
7/21/2019 18:06:05,Dog,Oscar ,Oscar ,10,Shepherd retriever mix
7/21/2019 18:06:07,Cat,Serena,Mouse Pie,17,Domestic Longhair
7/21/2019 18:06:08,Cat,Maxine Waters,Maxine,4,
7/21/2019 18:06:21,Dog,Magnolia Mae,Noli,2.5,Great Pyrenees/Lab
7/21/2019 18:06:28,Dog,George Cooper,Georgie,2,Golden Retriever / Mix
7/21/2019 18:06:28,Dog,Cayenne,Cayenne,8,German Shepherd / Mix
7/21/2019 18:06:37,Cat,Pip,Pip,11,Tuxedo 
7/21/2019 18:06:40,Dog,Olive Oil,Olive,2,Australian Shepherd / Mix
7/21/2019 18:06:42,Other,Iggy And Ziggy ,Igs And Zigs,3,Lop and angora
7/21/2019 18:06:45,Dog,Brook,Brookie,7,Golden Retriever / Mix
7/21/2019 18:06:46,Dog,Sparkie,Spark,4,Mutt
7/21/2019 18:06:48,Dog,Max,Maxie,16,carin terrier/ kerry blue terrier/ keeshond
7/21/2019 18:06:49,Dog,Howard,Howie,10,American Staffordshire Terrier mix
7/21/2019 18:06:57,Cat,Samantha Bee,Sam,3,Tuxedo
7/21/2019 18:07:05,Dog,Ella Fitzgerald,Ella,12,Heinz 57
7/21/2019 18:07:06,Cat,Chanel,Teeny,6.5,
7/21/2019 18:07:06,Other,Commander Ambrose,The Commander,0.83,Betta fish 
7/21/2019 18:07:14,Dog,Josephine Bakes,Josie,5,Pit bull/lab mix
7/21/2019 18:07:19,Dog,Lennie,Lennie,2,Treeing Tennessee Brindle 
7/21/2019 18:07:31,Cat,Obsidian Jazz Paws,Ojp,1,Feral
7/21/2019 18:07:32,Cat,Scotty ,Scotty ,8,Domestic short hair 
7/21/2019 18:07:39,Cat,Macallan,Mac,8,
7/21/2019 18:07:39,Dog,Cody James,Buddy,1.5,Golden Retriever / Mix
7/21/2019 18:07:44,Dog,Jake,Jake,2,Golden Retriever / Mix
7/21/2019 18:07:47,Cat,Katie ,Boo,9,Tuxedo moggy
7/21/2019 18:08:03,Dog,Gail,Gail,3,Treeing Tennessee Brindle 
7/21/2019 18:08:14,Other,Bella ,Bella,2,Russian Dwarf Hamster
7/21/2019 18:08:18,Cat,June Bug,June Bug,5,
7/21/2019 18:08:28,Dog,Lucky,Luck,3,"Jack a bee (half jack russell, half beagle)"
7/21/2019 18:08:34,Dog,Darcy,Darcy,3,Working cocker spaniel
7/21/2019 18:08:38,Cat,Neko,Neko,6,domestic shorthair
7/21/2019 18:08:47,Cat,Maisy,Maisy,7,
7/21/2019 18:08:50,Dog,Luke Anakin,Luke,9,Golden Retriever / Mix
7/21/2019 18:08:52,Dog,Sadie,Sadie Pot Pie,10,Mixed
7/21/2019 18:09:01,Dog,Hazel Nut,Hazel,3,Australian Shepherd / Mix
7/21/2019 18:09:08,Cat,Flerf,Bab,16,Tortie 
7/21/2019 18:09:12,Dog,Bourbon,Bourbon,3,Mixed
7/21/2019 18:09:19,Dog,Riley,Smiley Riley,13,Golden Retriever / Mix
7/21/2019 18:09:19,Cat,Murphy,Murph ,13,Domestic shorthair 
7/21/2019 18:09:22,Dog,Mr. Nubs,Mr. Nubs,16,Corgi
7/21/2019 18:09:28,Cat,Regis,"Regis (or ""little Asshole"")",0,
7/21/2019 18:09:34,Cat,Laetynne Marah,Lae Lae,7,Siamese
7/21/2019 18:09:37,Cat,Callie,Callie,15,Domestic shorthair (calico)
7/21/2019 18:09:42,Dog,Bentley,Bentley Boy,3,Australian labradoodle 
7/21/2019 18:09:42,Cat,Crumb Bun,Bobo,9,Tuxedo garbage cat 
7/21/2019 18:09:46,Dog,Fenway,Fenway,6,Boston terrier
7/21/2019 18:09:47,Dog,Benelli ,Name,3,Black Lab
7/21/2019 18:09:50,Other,Lenny,Lenny,12,
7/21/2019 18:09:51,Dog,Washington The Destroyer,Wash,6.5,Chocolate lab
7/21/2019 18:09:51,Cat,Otto,Otto,16,
7/21/2019 18:09:52,Dog,Philomenos,Philo,9,Portuguese Water Dog 
7/21/2019 18:09:58,Dog,Stampy Wiggles ,Stampy,10,Goldendoodle
7/21/2019 18:09:58,Dog,Jasmine ,Jaz ,5,Golden Retriever / Mix
7/21/2019 18:10:00,Dog,Emma,Puppy,1,Chocolate lab
7/21/2019 18:10:01,Dog,Winston,Wintin,4,Wire-haired mutt
7/21/2019 18:10:02,Dog,Torchenay Be Cool,Max,13,Beagle  / Mix
7/21/2019 18:10:05,Cat,Petunia Marie,Tooney,7,Domestic Shorthair-Tabby
7/21/2019 18:10:17,Dog,Brutus ,Brutus ,7,Yellow Labrador 
7/21/2019 18:10:23,Cat,Louis,Loulou,4.5,Black cat
7/21/2019 18:10:30,Cat,Lilah May,Lilah,12,Domestic Shorthair-Black
7/21/2019 18:10:31,Dog,Lucu,Puppy,7,Black lab/ blue heeler
7/21/2019 18:10:32,Dog,Mosephine,Mo,1,Standard Poodle
7/21/2019 18:10:32,Dog,Abegeweit,Abi (abby),16,Fox terrier mix
7/21/2019 18:10:34,Dog,Kramer,Kray Kray,12,Golden Retriever / Mix
7/21/2019 18:10:38,Bird,Coco Moe,Coco,15,Cockatiel
7/21/2019 18:10:41,Cat,Apollo,Beeper,1,
7/21/2019 18:10:51,Dog,Rusty,Wusty,5,Golden Lab
7/21/2019 18:10:51,Dog,Demi,Dems,6,"Mixed (dachshund, basenji, australian cattle dog, rescue)"
7/21/2019 18:10:54,Dog,Alfredog,Alfie,11,Mutt - mostly Jack Russell
7/21/2019 18:10:58,Other,Professor Nibblesworth Bunnypants,Nibbles,6,Netherland Dwarf
7/21/2019 18:10:59,Dog,Shorty Do-op,Shorty,15,Mutt
7/21/2019 18:11:04,Dog,Penny,Penny,3,Australian Shepherd / Mix
7/21/2019 18:11:10,Dog,Sally,Sally,7,Golden Retriever / Mix
7/21/2019 18:11:12,Dog,Lola,Lola,6,Mixed Breed
7/21/2019 18:11:13,Cat,Noodle,Noodle,4,domestic medium haired
7/21/2019 18:11:16,Dog,Gustav,Goober,10,German Shepherd / Mix
7/21/2019 18:11:20,Other,Charlie,Charlie ,15,Syrian
7/21/2019 18:11:25,Dog,Poppy Sue Galushka Clementine,Poppy,4,Treeing Walker Coonhound / Mix
7/21/2019 18:11:34,Dog,Duke,Duke,3,Australian Shepherd / Mix
7/21/2019 18:11:39,Dog,Millie,Mills,7,Jack Russell Terrier  / Mix
7/21/2019 18:11:39,Dog,Sir Winston Of Weston ,Winston ,10,Golden Retriever / Mix
7/21/2019 18:11:40,Cat,Bucky,Bucks,2,Norwegian Forest cat
7/21/2019 18:11:50,Dog,Angus Ogdog Dogga Mcduff,Angus,deceased,West Highland Terrier
7/21/2019 18:11:58,Cat,Spot,Spotty Bear,4,Domestic short hair 
7/21/2019 18:12:01,Cat,Cookie,Cooks,2,Ragdoll
7/21/2019 18:12:04,Dog,Lady,Doofus,6,Chocolate lab mix
7/21/2019 18:12:07,Dog,Maggie Peaches,Maggie,13,Bichon Poodle
7/21/2019 18:12:09,Cat,Amelia,Amelita,2,
7/21/2019 18:12:13,Dog,Camembert,Cami,5,Bernese Mountain Dog
7/21/2019 18:12:16,Dog,Shadow,Shadow,3,Saluki
7/21/2019 18:12:21,Dog,Archer,Archer,3,Golden Retriever / Mix
7/21/2019 18:12:24,Dog,Robbie ,Robz,15,Whippet
7/21/2019 18:12:29,Cat,Noah,Noah,2,
7/21/2019 18:12:35,Other,Penny,Pen,4,
7/21/2019 18:12:46,Cat,Lovey Cat,Lovey,18,
7/21/2019 18:12:52,Dog,Roxy,Roxy,8,Pit bull
7/21/2019 18:12:54,Dog,Ashton Sebastian,Ash,9,Pit Bull mix
7/21/2019 18:12:54,Dog,Maximum,Max,10,Beagle  / Mix
7/21/2019 18:12:57,Dog,Rosalind Pearl,Rosie,5,Border collie / Mix
7/21/2019 18:12:57,Other,Lena,Lena,8,dwarf rabbit
7/21/2019 18:12:58,Other,Beauxbaton,Beau,2.5,Winter white hampster
7/21/2019 18:13:09,Dog,Chyna,Chyna,16,Little terrier poodle mix
7/21/2019 18:13:36,Dog,Sadie,Sadie,4,Cockapoo
7/21/2019 18:13:43,Dog,Flynn,Flynn,0.91,Corgi
7/21/2019 18:13:44,Cat,Felicity Louise,Flick,4,Domestic short hair
7/21/2019 18:13:47,Other,James Pond,James,5,Goldfish
7/21/2019 18:13:55,Cat,Mars,Mars,8,Domestic Shorthair
7/21/2019 18:14:00,Dog,Loki,Loki,3,
7/21/2019 18:14:13,Cat,Millie ,Mill,13,Domestic shorthair 
7/21/2019 18:14:22,Dog,Trixie,Trix,3,"Toy Fox Terrier / Yorkie (""Torkie"")"
7/21/2019 18:14:43,Dog,Birdy ,Birdy ,4,Pomeranian mix
7/21/2019 18:14:57,Cat,Charlotte Wallace,Chuck,8,Cat
7/21/2019 18:15:06,Cat,Thumper Dumper Bumble Butt,Thumper,16,Domestic short hair
7/21/2019 18:15:22,Dog,Vince,Vincie ,11,Yellow lab
7/21/2019 18:15:41,Dog,Cobert ,Cob ,2,Dalmatian
7/21/2019 18:15:55,Other,Little Prince,Lp,2,Fish
7/21/2019 18:16:03,Dog,Jack Daniel,Jackie,3,Chocolate lab
7/21/2019 18:16:06,Dog,Crinkle,Crinkle,7,Mongrel
7/21/2019 18:16:07,Dog,Maisy Lynn Marie,Mimsy,6,Beagle  / Mix
7/21/2019 18:16:07,Dog,Beemer,Beemo,7,Aussie doodle
7/21/2019 18:16:10,Other,Rosencrantz Wgp,Rosie,3,
7/21/2019 18:16:10,Cat,Michelin ,Michelin,14,"Cat, he's a cat, we found him on my dad's tire... I think you can guess what brand tires my dad had"
7/21/2019 18:16:13,Dog,Mac,Mac,5,Boxer/mastiff mix
7/21/2019 18:16:14,Dog,Maximillion Taxi ,Max,9,Lab mix
7/21/2019 18:16:17,Dog,Krypto,Dinky,6,Golden Retriever / Mix
7/21/2019 18:16:23,Cat,Piper,Pippin,5,Cat
7/21/2019 18:16:26,Dog,Bo Jangles,Bo,0.83,Husky/Boxer
7/21/2019 18:16:27,Cat,Slinkey,Slonk,5,
7/21/2019 18:16:39,Dog,Brixton,Brixie ,1,Golden Retriever / Mix
7/21/2019 18:16:43,Dog,Jasper,Jasper,10,Miniature labradoodle
7/21/2019 18:16:43,Cat,Tabitha,Tabber,8,
7/21/2019 18:16:59,Dog,Shadow Montgomery,Lovebug,2,Golden Retriever / Mix
